10:47:47.134 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_2abc123
10:47:47.134 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:47.138 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Participant 'Participant_2abc123' has no mapped user for businessKey 'a' (action='plantArea')
10:47:49.124 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:51.121 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:53.123 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:55.123 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:57.120 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:47:59.118 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:01.120 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:02.566 [http-nio-8082-exec-10] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:03.118 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:05.120 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:07.121 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:09.119 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:11.122 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:13.122 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:15.118 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:17.122 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:18.438 [http-nio-8082-exec-8] INFO  o.u.i.c.EnvironmentController - [Environment API] Attribute 'state' for place 'place13' set to: planted
10:48:19.119 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0wbdy0w -> auto-pass
10:48:19.122 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0wbdy0w'. signalName=null, signalData=null
10:48:19.125 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_0wbdy0w | execution=4920bf42-22af-11f1-a061-6ee3202e5531
10:48:19.125 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_0wbdy0w ended
10:48:19.132 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Registered gateway Gateway_079n828 (execution=4920bf42-22af-11f1-a061-6ee3202e5531) with 2 guarded outgoing flows
10:48:19.132 [scheduling-1] INFO  o.u.i.l.e.ExclusiveGatewayExecutionListener - [ExclusiveGatewayListener] Gateway Gateway_079n828 entered wait mode with 2 guarded flows
10:48:19.132 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Gateway_079n828' has entered wait state.
10:48:19.137 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_0wbdy0w | execution=4920bf42-22af-11f1-a061-6ee3202e5531 | guard='' | action='plantArea'
10:48:19.139 [scheduling-1] INFO  o.u.i.s.SequenceFlowGuardEvaluator - [SequenceFlowGuardEvaluator] Guard evaluation for Flow_0hqo9af (Free Areas.count == 0): false
10:48:19.140 [scheduling-1] INFO  o.u.i.s.SequenceFlowGuardEvaluator - [SequenceFlowGuardEvaluator] Guard evaluation for Flow_1toad1x (Free Areas.count > 0): true
10:48:19.143 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Gateway_079n828'. signalName=null, signalData=null
10:48:19.145 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Removed gateway Gateway_079n828 (execution=4920bf42-22af-11f1-a061-6ee3202e5531)
10:48:19.147 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_bkw2w6' on Activity_0bueab4
10:48:19.147 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_0bueab4 - Move to
free area | Participant: Farmer (Participant_2abc123) | Destination: Lp_bkw2w6 | Timer: (empty)
10:48:19.147 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_2abc123 | Activity: Activity_0bueab4 | Destination: Lp_bkw2w6 | ExecutionId: 4920bf42-22af-11f1-a061-6ee3202e5531 | Timer: (empty)
10:48:19.147 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0bueab4' has entered wait state.
10:48:19.150 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Signaled gateway Gateway_079n828 (execution=4920bf42-22af-11f1-a061-6ee3202e5531) with selected flow Flow_1toad1x
